,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-16,65.599459565668,-23.861259139037216,144.52203754847338,65.599459565668,65.599459565668,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,-5.86468472730286,0.0,0.0,0.0,59.73477483836514
1,2020-03-17,67.39495038061956,-17.65629264032968,151.5256102755589,67.39495038061956,67.39495038061956,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,-2.383379579207038,0.0,0.0,0.0,65.01157080141252
2,2020-03-18,69.19044119557113,-13.639273453793935,151.50546025795813,69.19044119557113,69.19044119557113,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,-3.494359992081305,0.0,0.0,0.0,65.69608120348983
3,2020-03-19,70.98593201052269,-19.81306315061676,153.538134823231,70.98593201052269,70.98593201052269,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,-3.843578695301523,0.0,0.0,0.0,67.14235331522117
4,2020-03-20,72.78142282547425,-24.310189371648313,154.30936514235648,72.78142282547425,72.78142282547425,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,-7.762546552088756,0.0,0.0,0.0,65.0188762733855
5,2020-03-23,78.16789527032894,-6.625571875730707,159.4543257299422,78.16789527032894,78.16789527032894,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,-5.864684727295866,0.0,0.0,0.0,72.30321054303307
6,2020-03-24,79.96338608528049,-9.36288601097284,165.78845489272211,79.96338608528049,79.96338608528049,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,-2.383379579187213,0.0,0.0,0.0,77.58000650609328
7,2020-03-25,81.75887690023207,-9.148334871547537,162.5995401089571,81.75887690023207,81.75887690023207,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,-3.49435999207814,0.0,0.0,0.0,78.26451690815392
8,2020-03-26,83.55436771518362,-10.170031468257292,172.30309625305446,83.55436771518362,83.55436771518362,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,-3.843578695318042,0.0,0.0,0.0,79.71078901986557
9,2020-03-27,85.34985852923225,-9.64453739874988,165.2539789280192,85.34985852923225,85.34985852923225,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,-7.7625465520756745,0.0,0.0,0.0,77.58731197715657
10,2020-03-30,90.73633097137811,-2.949054567751665,174.34795551709843,90.73633097137811,90.73633097137811,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,-5.864684727288874,0.0,0.0,0.0,84.87164624408923
11,2020-03-31,92.53182178542673,7.216786780089765,180.2847523132078,92.53182178542673,92.53182178542673,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,-2.383379579219281,0.0,0.0,0.0,90.14844220620745
12,2020-04-01,94.32731259947536,7.82990445268968,170.8353336740049,94.32731259947536,94.32731259947536,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,-3.494359992079336,0.0,0.0,0.0,90.83295260739602
13,2020-04-02,96.12280341352398,9.666105197823235,181.5060709374413,96.12280341352398,96.12280341352398,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,-3.8435786953168636,0.0,0.0,0.0,92.27922471820712
14,2020-04-03,97.9182942275726,4.520147701767612,173.20073776809411,97.9182942275726,97.9182942275726,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,-7.762546552080305,0.0,0.0,0.0,90.1557476754923
15,2020-04-06,103.30476666971846,13.582427734550048,179.31409015344343,103.30476666971846,103.30476666971846,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,-5.864684727321714,0.0,0.0,0.0,97.44008194239674
16,2020-04-07,105.10025748376708,19.68041580454775,191.7130044816727,105.10025748376708,105.10025748376708,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,-2.38337957921149,0.0,0.0,0.0,102.71687790455559
17,2020-04-08,106.89574828671248,18.194497958492217,194.21685810763842,106.89574828671248,106.89574828671248,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,-3.4943599920787607,0.0,0.0,0.0,103.40138829463372
18,2020-04-09,108.69123908965786,23.058507629286744,189.4209005002323,108.69123908965786,108.69123908965786,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,-3.843578695324534,0.0,0.0,0.0,104.84766039433332
19,2020-04-13,115.87320230143942,22.575870393533222,195.96016209642465,115.87320230143942,115.87320230143942,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,-5.864684727314722,0.0,0.0,0.0,110.0085175741247
20,2020-04-14,117.6686931043848,31.19440593962629,201.47597102570666,117.6686931043848,117.6686931043848,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,-2.383379579203698,0.0,0.0,0.0,115.2853135251811
21,2020-04-15,119.4641839073302,27.005927729390947,205.06172809397987,119.4641839073302,119.4641839073302,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,-3.494359992079954,0.0,0.0,0.0,115.96982391525025
22,2020-04-16,121.2596747102756,32.71471773636491,200.83584029515072,121.2596747102756,121.2596747102756,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,-3.8435786953010553,0.0,0.0,0.0,117.41609601497454
23,2020-04-17,123.05516551322098,29.727328815808473,198.8114370315099,123.05516551322098,123.05516551322098,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,-7.762546552054143,0.0,0.0,0.0,115.29261896116684
